gps_coords,timestamp_ms,anchor,protocol,rssi,snr,seq
"12.842165,80.154194",275397,A3,LORA,-73,12.50,3767
"12.842165,80.154194",275770,A5,LORA,-118,-11.25,4703
"12.842165,80.154194",275900,A3,LORA,-74,13.75,3768
"12.842165,80.154194",276272,A5,LORA,-116,-9.00,4704
"12.842165,80.154194",276341,A3,WIFI,-82,0,6
"12.842165,80.154194",276341,A5,WIFI,-88,0,6
"12.842165,80.154194",276398,A3,LORA,-72,12.50,3769
"12.842165,80.154194",276598,A5,BLE,-88,0,11762
"12.842165,80.154194",276757,A3,BLE,-78,0,9424
"12.842165,80.154194",276771,A5,LORA,-115,-9.00,4705
"12.842165,80.154194",276899,A3,LORA,-74,12.75,3770
"12.842165,80.154194",277196,A4,LORA,-118,-11.50,3057
"12.842165,80.154194",277271,A5,LORA,-118,-12.00,4706
"12.842165,80.154194",277398,A3,LORA,-78,12.00,3771
"12.842165,80.154194",277697,A4,LORA,-118,-11.00,3058
"12.842165,80.154194",277771,A5,LORA,-116,-10.00,4707
"12.842165,80.154194",277901,A3,LORA,-73,12.25,3772
"12.842165,80.154194",277964,A3,WIFI,-75,0,6
"12.842165,80.154194",277964,A5,WIFI,-89,0,6
"12.842165,80.154194",277976,A3,BLE,-78,0,9430
"12.842165,80.154194",278273,A5,LORA,-119,-12.00,4708
"12.842165,80.154194",278399,A3,LORA,-73,12.25,3773
"12.842165,80.154194",278447,A5,BLE,-88,0,11771
"12.842165,80.154194",278900,A3,LORA,-73,12.25,3774
"12.842165,80.154194",279399,A3,LORA,-72,13.25,3775
"12.842165,80.154194",279587,A3,WIFI,-73,0,6
"12.842165,80.154194",279587,A5,WIFI,-90,0,6
"12.842165,80.154194",279617,A3,BLE,-73,0,9439
"12.842165,80.154194",279772,A5,LORA,-119,-12.25,4711
"12.842165,80.154194",279901,A3,LORA,-70,12.25,3776
"12.842165,80.154194",280400,A3,LORA,-73,12.50,3777
"12.842165,80.154194",280699,A4,LORA,-119,-12.25,3064
"12.842165,80.154194",280900,A5,BLE,-86,0,11781
"12.842165,80.154194",280901,A3,LORA,-84,11.00,3778
"12.842165,80.154194",281211,A3,WIFI,-76,0,6
"12.842165,80.154194",281254,A3,BLE,-73,0,9447
"12.842165,80.154194",281400,A3,LORA,-84,11.75,3779
"12.842165,80.154194",281698,A4,LORA,-118,-12.00,3066
"12.842165,80.154194",281903,A3,LORA,-90,10.25,3780
"12.842165,80.154194",282275,A5,LORA,-116,-11.00,4716
"12.842165,80.154194",282401,A3,LORA,-81,12.00,3781
"12.842165,80.154194",282774,A5,LORA,-111,-6.25,4717
"12.842165,80.154194",282835,A3,WIFI,-78,0,6
"12.842165,80.154194",282835,A5,WIFI,-87,0,6
"12.842165,80.154194",282902,A3,LORA,-89,11.25,3782
"12.842165,80.154194",282936,A5,BLE,-86,0,11793
"12.842165,80.154194",283089,A3,BLE,-84,0,9456
"12.842165,80.154194",283245,A2,BLE,-90,0,4822
"12.842165,80.154194",283274,A5,LORA,-113,-7.75,4718
"12.842165,80.154194",283401,A3,LORA,-84,11.75,3783
"12.842165,80.154194",283774,A5,LORA,-117,-11.25,4719
"12.842165,80.154194",283903,A3,LORA,-80,12.50,3784
"12.842165,80.154194",284402,A3,LORA,-78,13.00,3785
"12.842165,80.154194",284459,A3,WIFI,-87,0,6
"12.842165,80.154194",284903,A3,LORA,-82,13.00,3786
"12.842165,80.154194",285402,A3,LORA,-89,11.75,3787
"12.842165,80.154194",285689,A2,BLE,-93,0,4828
"12.842165,80.154194",285904,A3,LORA,-78,12.25,3788
"12.842165,80.154194",286083,A3,WIFI,-83,0,6
"12.842165,80.154194",286277,A5,LORA,-118,-13.25,4724
"12.842165,80.154194",286403,A3,LORA,-73,12.25,3789
"12.842165,80.154194",286776,A5,LORA,-117,-11.00,4725
"12.842165,80.154194",286904,A3,LORA,-78,12.50,3790
"12.842165,80.154194",286997,A3,BLE,-82,0,9471
"12.842165,80.154194",287276,A5,LORA,-117,-11.25,4726
"12.842165,80.154194",287403,A3,LORA,-79,12.25,3791
"12.842165,80.154194",287707,A3,WIFI,-78,0,6
"12.842165,80.154194",287826,A3,BLE,-83,0,9480
"12.842165,80.154194",287906,A3,LORA,-81,12.00,3792
"12.842165,80.154194",288055,A5,BLE,-95,0,11819
"12.842165,80.154194",288404,A3,LORA,-76,12.25,3793
"12.842165,80.154194",288905,A3,LORA,-78,13.75,3794
"12.842165,80.154194",289331,A3,WIFI,-77,0,6
"12.842165,80.154194",289331,A5,WIFI,-88,0,6
"12.842165,80.154194",289404,A3,LORA,-74,13.25,3795
"12.842165,80.154194",289448,A3,BLE,-80,0,9488
"12.842165,80.154194",289906,A3,LORA,-75,12.75,3796
"12.842165,80.154194",289910,A5,BLE,-88,0,11826
"12.842235,80.154189",300699,A3,WIFI,-71,0,6
"12.842235,80.154189",300699,A5,WIFI,-86,0,6
"12.842235,80.154189",300706,A3,BLE,-72,0,9544
"12.842235,80.154189",300783,A5,LORA,-117,-8.75,4753
"12.842235,80.154189",300911,A3,LORA,-73,12.00,3818
"12.842235,80.154189",300955,A5,BLE,-84,0,11883
"12.842235,80.154189",301276,A34002,BLE,-73,0,4549
"12.842235,80.154189",301410,A3,LORA,-73,12.00,3819
"12.842235,80.154189",301912,A3,LORA,-74,12.25,3820
"12.842235,80.154189",302323,A3,WIFI,-72,0,6
"12.842235,80.154189",302323,A5,WIFI,-84,0,6
"12.842235,80.154189",302361,A3,BLE,-74,0,9552
"12.842235,80.154189",302411,A3,LORA,-75,13.75,3821
"12.842235,80.154189",302595,A5,BLE,-87,0,11891
"12.842235,80.154189",302912,A3,LORA,-79,12.00,3822
"12.842235,80.154189",303284,A5,LORA,-120,-13.25,4758
"12.842235,80.154189",303411,A3,LORA,-82,12.50,3823
"12.842235,80.154189",303548,A2,BLE,-91,0,4921
"12.842235,80.154189",303784,A5,LORA,-117,-10.25,4759
"12.842235,80.154189",303913,A3,LORA,-86,13.00,3824
"12.842235,80.154189",303947,A5,WIFI,-86,0,6
"12.842235,80.154189",303952,A2,BLE,-90,0,4925
"12.842235,80.154189",304042,A5,BLE,-89,0,11899
"12.842235,80.154189",304286,A5,LORA,-115,-8.75,4760
"12.842235,80.154189",304412,A3,LORA,-84,11.50,3825
"12.842235,80.154189",304913,A3,LORA,-81,12.00,3826
"12.842235,80.154189",305285,A5,LORA,-115,-9.25,4762
"12.842235,80.154189",305412,A3,LORA,-78,12.50,3827
"12.842235,80.154189",305571,A5,WIFI,-80,0,6
"12.842235,80.154189",305571,A3,WIFI,-81,0,6
"12.842235,80.154189",305571,A2,WIFI,-86,0,6
"12.842235,80.154189",305598,A2,BLE,-90,0,4934
"12.842235,80.154189",305785,A5,LORA,-111,-5.25,4763
"12.842235,80.154189",305899,A5,BLE,-84,0,11908
"12.842235,80.154189",305914,A3,LORA,-75,12.75,3828
"12.842235,80.154189",306287,A5,LORA,-115,-7.75,4764
"12.842235,80.154189",306413,A3,LORA,-78,12.75,3829
"12.842235,80.154189",306914,A3,LORA,-78,12.50,3830
"12.842235,80.154189",307195,A3,WIFI,-85,0,6
"12.842235,80.154189",307230,A2,BLE,-90,0,4942
"12.842235,80.154189",307282,A3,BLE,-78,0,9577
"12.842235,80.154189",307413,A3,LORA,-76,12.00,3831
"12.842235,80.154189",307916,A3,LORA,-79,12.00,3832
"12.842235,80.154189",308414,A3,LORA,-77,12.50,3833
"12.842235,80.154189",308819,A3,WIFI,-81,0,6
"12.842235,80.154189",308915,A3,LORA,-75,13.00,3834
"12.842235,80.154189",309303,A34002,BLE,-81,0,4549
"12.842235,80.154189",309415,A3,LORA,-75,14.00,3835
"12.842235,80.154189",309917,A3,LORA,-77,12.50,3836
"12.842235,80.154189",310415,A3,LORA,-76,12.25,3837
"12.842235,80.154189",310443,A3,WIFI,-74,0,6
"12.842235,80.154189",310706,A4,BLE,-95,0,7810
"12.842235,80.154189",310771,A3,BLE,-77,0,9594
"12.842235,80.154189",310791,A5,BLE,-85,0,11932
"12.842235,80.154189",310915,A3,LORA,-70,12.50,3838
"12.842235,80.154189",311415,A3,LORA,-71,14.00,3839
"12.842235,80.154189",311917,A3,LORA,-73,12.25,3840
"12.842235,80.154189",312067,A3,WIFI,-76,0,6
"12.842235,80.154189",312416,A3,LORA,-79,12.25,3841
"12.842235,80.154189",312631,A3,BLE,-78,0,9602
"12.842235,80.154189",312641,A5,BLE,-90,0,11942
"12.842235,80.154189",312799,A2,BLE,-91,0,4969
"12.842235,80.154189",312917,A3,LORA,-83,13.00,3842
"12.842235,80.154189",313416,A3,LORA,-86,12.25,3843
"12.842235,80.154189",313691,A3,WIFI,-79,0,6
"12.842235,80.154189",313888,A5,BLE,-86,0,11948
"12.842235,80.154189",313918,A3,LORA,-89,12.25,3844
"12.842235,80.154189",314417,A3,LORA,-90,10.50,3845
"12.842235,80.154189",314442,A2,BLE,-92,0,4978
"12.842235,80.154189",314492,A3,BLE,-82,0,9613
"12.842235,80.154189",314790,A5,LORA,-118,-12.50,4781
"12.842235,80.154189",314918,A3,LORA,-86,12.25,3846
"12.842235,80.154189",314998,A20825,BLE,-79,0,63785
"12.842235,80.154189",315315,A5,WIFI,-79,0,6
"12.842235,80.154189",315417,A3,LORA,-82,12.00,3847
"12.842235,80.154189",315516,A3,BLE,-89,0,9618
"12.842309,80.154200",326281,A4,BLE,-93,0,7883
"12.842309,80.154200",326297,A5,LORA,-118,-11.50,4804
"12.842309,80.154200",326423,A3,LORA,-81,12.25,3869
"12.842309,80.154200",326683,A3,WIFI,-84,0,6
"12.842309,80.154200",326683,A4,WIFI,-86,0,6
"12.842309,80.154200",326923,A3,LORA,-80,12.75,3870
"12.842309,80.154200",327032,A20825,BLE,-83,0,63785
"12.842309,80.154200",327193,A3,BLE,-89,0,9676
"12.842309,80.154200",327423,A3,LORA,-80,12.00,3871
"12.842309,80.154200",327925,A3,LORA,-81,11.75,3872
"12.842309,80.154200",328307,A3,WIFI,-83,0,6
"12.842309,80.154200",328424,A3,LORA,-85,11.50,3873
"12.842309,80.154200",328430,A3,BLE,-88,0,9682
"12.842309,80.154200",328925,A3,LORA,-83,12.50,3874
"12.842309,80.154200",329424,A3,LORA,-96,7.50,3875
"12.842309,80.154200",329926,A3,LORA,-108,-4.25,3876
"12.842309,80.154200",329933,A3,WIFI,-77,0,6
"12.842309,80.154200",329933,A5,WIFI,-89,0,6
"12.842309,80.154200",330425,A3,LORA,-85,12.75,3877
"12.842309,80.154200",330503,A5,BLE,-84,0,12031
"12.842309,80.154200",330798,A5,LORA,-113,-8.00,4813
"12.842309,80.154200",330925,A3,LORA,-81,12.00,3878
"12.842309,80.154200",331298,A5,LORA,-114,-10.00,4814
"12.842309,80.154200",331425,A3,LORA,-76,12.00,3879
"12.842309,80.154200",331557,A5,WIFI,-83,0,6
"12.842309,80.154200",331828,A4,BLE,-90,0,7915
"12.842309,80.154200",331927,A3,LORA,-78,13.25,3880
"12.842309,80.154200",332068,A2,BLE,-96,0,5066
"12.842309,80.154200",332223,A4,LORA,-116,-12.25,3167
"12.842309,80.154200",332426,A3,LORA,-85,11.50,3881
"12.842309,80.154200",332926,A3,LORA,-82,13.25,3882
"12.842309,80.154200",333181,A3,WIFI,-85,0,6
"12.842309,80.154200",333181,A5,WIFI,-88,0,6
"12.842309,80.154200",333181,A4,WIFI,-88,0,6
"12.842309,80.154200",333426,A3,LORA,-99,5.25,3883
"12.842309,80.154200",333463,A4,BLE,-93,0,7924
"12.842309,80.154200",333928,A3,LORA,-85,12.50,3884
"12.842309,80.154200",334427,A3,LORA,-83,12.00,3885
"12.842309,80.154200",334805,A3,WIFI,-87,0,6
"12.842309,80.154200",334805,A4,WIFI,-90,0,6
"12.842309,80.154200",334928,A3,LORA,-77,13.75,3886
"12.842309,80.154200",334972,A3,BLE,-87,0,9715
"12.842309,80.154200",335427,A3,LORA,-76,12.25,3887
"12.842309,80.154200",335929,A3,LORA,-79,12.25,3888
"12.842309,80.154200",336428,A3,LORA,-86,11.50,3889
"12.842309,80.154200",336435,A3,WIFI,-80,0,6
"12.842309,80.154200",336474,A5,BLE,-91,0,12061
"12.842309,80.154200",336614,A3,BLE,-83,0,9723
"12.842309,80.154200",336928,A3,LORA,-82,12.00,3890
"12.842309,80.154200",337428,A3,LORA,-85,12.00,3891
"12.842309,80.154200",337930,A3,LORA,-87,11.25,3892
"12.842309,80.154200",338060,A3,WIFI,-78,0,6
"12.842309,80.154200",338257,A3,BLE,-83,0,9732
"12.842309,80.154200",338429,A3,LORA,-89,11.75,3893
"12.842309,80.154200",338795,A2,BLE,-93,0,5099
"12.842309,80.154200",338802,A5,LORA,-115,-9.00,4829
"12.842309,80.154200",338929,A3,LORA,-95,8.25,3894
"12.842309,80.154200",339055,A20825,BLE,-79,0,63785
"12.842309,80.154200",339302,A5,LORA,-117,-11.00,4830
"12.842309,80.154200",339355,A5,BLE,-86,0,12075
"12.842309,80.154200",339429,A3,LORA,-85,12.25,3895
"12.842309,80.154200",339802,A5,LORA,-111,-4.75,4831
"12.842309,80.154200",339932,A3,LORA,-76,12.00,3896
"12.842309,80.154200",340104,A3,BLE,-90,0,9741
"12.842309,80.154200",340178,A5,BLE,-87,0,12079
"12.842309,80.154200",340304,A5,LORA,-111,-5.25,4832
"12.842309,80.154200",340430,A3,LORA,-78,12.75,3897
"12.842309,80.154200",340432,A2,BLE,-93,0,5108
"12.842309,80.154200",340729,A4,LORA,-118,-11.25,3184
"12.842309,80.154200",340803,A5,LORA,-115,-9.25,4833
"12.842309,80.154200",340838,A4,BLE,-87,0,7960
"12.842309,80.154200",340930,A3,LORA,-78,10.75,3898
"12.842394,80.154186",352689,A4,WIFI,-87,0,6
"12.842394,80.154186",352689,A3,WIFI,-88,0,6
"12.842394,80.154186",352689,A5,WIFI,-90,0,6
"12.842394,80.154186",352795,A3,BLE,-89,0,9804
"12.842394,80.154186",352937,A3,LORA,-90,10.25,3922
"12.842394,80.154186",352942,A4,BLE,-85,0,8021
"12.842394,80.154186",353091,A20825,BLE,-88,0,63785
"12.842394,80.154186",353309,A5,LORA,-114,-10.25,4858
"12.842394,80.154186",353436,A3,LORA,-89,10.50,3923
"12.842394,80.154186",353809,A5,LORA,-112,-8.00,4859
"12.842394,80.154186",353938,A3,LORA,-84,11.75,3924
"12.842394,80.154186",354311,A5,LORA,-111,-8.25,4860
"12.842394,80.154186",354318,A3,WIFI,-89,0,6
"12.842394,80.154186",354318,A4,WIFI,-89,0,6
"12.842394,80.154186",354437,A3,LORA,-79,12.25,3925
"12.842394,80.154186",354578,A4,BLE,-92,0,8029
"12.842394,80.154186",354810,A5,LORA,-116,-11.50,4861
"12.842394,80.154186",354837,A3,BLE,-83,0,9812
"12.842394,80.154186",354937,A3,LORA,-79,13.75,3926
"12.842394,80.154186",355310,A5,LORA,-112,-8.00,4862
"12.842394,80.154186",355437,A3,LORA,-83,13.25,3927
"12.842394,80.154186",355810,A5,LORA,-116,-12.50,4863
"12.842394,80.154186",355939,A3,LORA,-89,10.25,3928
"12.842394,80.154186",355946,A3,WIFI,-82,0,6
"12.842394,80.154186",356274,A3,BLE,-84,0,9822
"12.842394,80.154186",356438,A3,LORA,-88,11.25,3929
"12.842394,80.154186",356938,A3,LORA,-96,6.75,3930
"12.842394,80.154186",357438,A3,LORA,-85,12.50,3931
"12.842394,80.154186",357593,A5,BLE,-89,0,12166
"12.842394,80.154186",357811,A5,LORA,-114,-9.75,4867
"12.842394,80.154186",357940,A3,LORA,-84,11.25,3932
"12.842394,80.154186",358044,A4,BLE,-87,0,8046
"12.842394,80.154186",358055,A2,BLE,-92,0,5196
"12.842394,80.154186",358116,A3,BLE,-92,0,9831
"12.842394,80.154186",358313,A5,LORA,-111,-7.25,4868
"12.842394,80.154186",358439,A3,LORA,-82,13.25,3933
"12.842394,80.154186",358812,A5,LORA,-114,-9.75,4869
"12.842394,80.154186",358939,A3,LORA,-89,10.75,3934
"12.842394,80.154186",359173,A3,WIFI,-85,0,6
"12.842394,80.154186",359173,A5,WIFI,-85,0,6
"12.842394,80.154186",359173,A4,WIFI,-87,0,6
"12.842394,80.154186",359273,A4,BLE,-87,0,8053
"12.842394,80.154186",359313,A5,LORA,-117,-13.00,4870
"12.842394,80.154186",359339,A3,BLE,-90,0,9837
"12.842394,80.154186",359431,A5,BLE,-88,0,12176
"12.842394,80.154186",359439,A3,LORA,-88,11.75,3935
"12.842394,80.154186",359812,A5,LORA,-113,-9.50,4871
"12.842394,80.154186",359896,A1,BLE,-95,0,14158
"12.842394,80.154186",359941,A3,LORA,-82,12.75,3936
"12.842394,80.154186",360314,A5,LORA,-114,-10.25,4872
"12.842394,80.154186",360440,A3,LORA,-87,11.00,3937
"12.842394,80.154186",360797,A4,WIFI,-86,0,6
"12.842394,80.154186",360797,A5,WIFI,-89,0,6
"12.842394,80.154186",360912,A4,BLE,-84,0,8061
"12.842394,80.154186",360941,A3,LORA,-85,12.50,3938
"12.842394,80.154186",361063,A5,BLE,-89,0,12184
"12.842394,80.154186",361440,A3,LORA,-81,12.00,3939
"12.842394,80.154186",361813,A5,LORA,-114,-11.25,4875
"12.842394,80.154186",361942,A3,LORA,-86,11.75,3940
"12.842394,80.154186",362420,A4,WIFI,-84,0,6
"12.842394,80.154186",362441,A3,LORA,-97,5.50,3941
"12.842394,80.154186",362766,A4,BLE,-86,0,8070
"12.842394,80.154186",362814,A5,LORA,-111,-9.75,4877
"12.842394,80.154186",362902,A5,BLE,-91,0,12193
"12.842394,80.154186",362941,A3,LORA,-85,12.25,3942
"12.842394,80.154186",363314,A5,LORA,-110,-6.75,4878
"12.842394,80.154186",363441,A3,LORA,-82,12.00,3943
"12.842394,80.154186",363814,A5,LORA,-115,-12.25,4879
"12.842394,80.154186",363943,A3,LORA,-86,11.75,3944
"12.842394,80.154186",364043,A4,WIFI,-83,0,6
"12.842394,80.154186",364043,A3,WIFI,-90,0,6
"12.842394,80.154186",364047,A3,BLE,-83,0,9860
"12.842394,80.154186",364397,A4,BLE,-88,0,8078
"12.842394,80.154186",364442,A3,LORA,-79,13.00,3945
"12.842394,80.154186",364815,A5,LORA,-114,-10.25,4881
"12.842394,80.154186",364942,A3,LORA,-80,13.25,3946
"12.842394,80.154186",365442,A3,LORA,-78,11.25,3947
"12.842394,80.154186",365666,A3,WIFI,-88,0,6
"12.842394,80.154186",365666,A5,WIFI,-89,0,6
"12.842394,80.154186",365683,A3,BLE,-81,0,9869
"12.842394,80.154186",365815,A5,LORA,-115,-11.00,4883
"12.842394,80.154186",365944,A3,LORA,-76,12.25,3948
"12.842394,80.154186",366317,A5,LORA,-113,-9.00,4884
"12.842394,80.154186",366443,A3,LORA,-81,12.00,3949
"12.842394,80.154186",366943,A3,LORA,-85,13.00,3950
"12.842394,80.154186",367290,A3,WIFI,-82,0,6
"12.842394,80.154186",367330,A3,BLE,-90,0,9877
"12.842394,80.154186",367443,A3,LORA,-91,10.00,3951
"12.842471,80.154169",379449,A3,LORA,-94,9.75,3975
"12.842471,80.154169",379620,A3,BLE,-96,0,9938
"12.842471,80.154169",379637,A2,BLE,-97,0,5304
"12.842471,80.154169",379822,A5,LORA,-108,0.25,4911
"12.842471,80.154169",379951,A3,LORA,-92,11.25,3976
"12.842471,80.154169",380280,A4,WIFI,-84,0,6
"12.842471,80.154169",380324,A5,LORA,-109,-2.00,4912
"12.842471,80.154169",380450,A3,LORA,-88,12.25,3977
"12.842471,80.154169",380950,A3,LORA,-82,13.50,3978
"12.842471,80.154169",381323,A5,LORA,-116,-8.00,4914
"12.842471,80.154169",381450,A3,LORA,-82,13.00,3979
"12.842471,80.154169",381823,A5,LORA,-112,-4.25,4915
"12.842471,80.154169",381904,A3,WIFI,-87,0,6
"12.842471,80.154169",381952,A3,LORA,-81,12.25,3980
"12.842471,80.154169",382091,A3,BLE,-88,0,9951
"12.842471,80.154169",382232,A4,BLE,-92,0,8167
"12.842471,80.154169",382325,A5,LORA,-117,-10.75,4916
"12.842471,80.154169",382451,A3,LORA,-86,13.00,3981
"12.842471,80.154169",382824,A5,LORA,-118,-10.25,4917
"12.842471,80.154169",382951,A3,LORA,-88,11.75,3982
"12.842471,80.154169",383324,A5,LORA,-112,-6.00,4918
"12.842471,80.154169",383451,A3,LORA,-96,8.25,3983
"12.842471,80.154169",383824,A5,LORA,-111,-5.25,4919
"12.842471,80.154169",383953,A3,LORA,-92,11.50,3984
"12.842471,80.154169",384326,A5,LORA,-109,-2.75,4920
"12.842471,80.154169",384452,A3,LORA,-90,11.00,3985
"12.842471,80.154169",384825,A5,LORA,-108,-1.25,4921
"12.842471,80.154169",384953,A3,LORA,-87,12.00,3986
"12.842471,80.154169",385130,A4,WIFI,-83,0,6
"12.842471,80.154169",385149,A2,BLE,-92,0,5331
"12.842471,80.154169",385160,A3,BLE,-90,0,9966
"12.842471,80.154169",385167,A20825,BLE,-95,0,63785
"12.842471,80.154169",385302,A4,BLE,-89,0,8183
"12.842471,80.154169",385325,A5,LORA,-109,-1.50,4922
"12.842471,80.154169",385452,A3,LORA,-86,12.25,3987
"12.842471,80.154169",385825,A5,LORA,-113,-7.25,4923
"12.842471,80.154169",385865,A1,BLE,-94,0,14289
"12.842471,80.154169",385876,A5,BLE,-96,0,12308
"12.842471,80.154169",385954,A3,LORA,-87,11.50,3988
"12.842471,80.154169",386327,A5,LORA,-112,-5.75,4924
"12.842471,80.154169",386453,A3,LORA,-89,12.50,3989
"12.842471,80.154169",386754,A4,WIFI,-82,0,6
"12.842471,80.154169",386797,A2,BLE,-89,0,5339
"12.842471,80.154169",386826,A5,LORA,-111,-5.50,4925
"12.842471,80.154169",386953,A3,LORA,-98,7.50,3990
"12.842471,80.154169",387003,A3,BLE,-97,0,9975
"12.842471,80.154169",387173,A20825,BLE,-91,0,63785
"12.842471,80.154169",387326,A5,LORA,-111,-6.25,4926
"12.842471,80.154169",387453,A3,LORA,-90,10.75,3991
"12.842471,80.154169",387826,A5,LORA,-116,-10.00,4927
"12.842471,80.154169",387955,A3,LORA,-96,8.50,3992
"12.842471,80.154169",388328,A5,LORA,-117,-11.50,4928
"12.842471,80.154169",388378,A4,WIFI,-82,0,6
"12.842471,80.154169",388827,A5,LORA,-113,-6.75,4929
"12.842471,80.154169",388954,A3,LORA,-105,0.25,3994
"12.842471,80.154169",389177,A4,BLE,-83,0,8199
"12.842471,80.154169",389327,A5,LORA,-116,-11.00,4930
"12.842471,80.154169",389454,A3,LORA,-91,10.75,3995
"12.842471,80.154169",389827,A5,LORA,-114,-8.00,4931
"12.842471,80.154169",389956,A3,LORA,-88,11.75,3996
"12.842471,80.154169",390002,A4,WIFI,-85,0,6
"12.842471,80.154169",390100,A3,BLE,-90,0,9991
"12.842471,80.154169",390329,A5,LORA,-113,-7.00,4932
"12.842471,80.154169",390417,A4,BLE,-86,0,8208
"12.842471,80.154169",390455,A3,LORA,-86,11.75,3997
"12.842471,80.154169",390828,A5,LORA,-114,-8.00,4933
"12.842471,80.154169",390955,A3,LORA,-86,11.50,3998
"12.842471,80.154169",391328,A5,LORA,-115,-9.00,4934
"12.842471,80.154169",391455,A3,LORA,-81,12.25,3999
"12.842471,80.154169",391624,A4,WIFI,-83,0,6
"12.842471,80.154169",391625,A3,WIFI,-85,0,6
"12.842471,80.154169",391653,A4,BLE,-87,0,8214
"12.842471,80.154169",391747,A3,BLE,-92,0,9999
"12.842471,80.154169",391957,A3,LORA,-82,12.25,4000
"12.842471,80.154169",392330,A5,LORA,-114,-7.25,4936
"12.842471,80.154169",392456,A3,LORA,-85,12.75,4001
"12.842471,80.154169",392829,A5,LORA,-113,-6.50,4937
"12.842471,80.154169",392956,A3,LORA,-84,12.00,4002
"12.842471,80.154169",393248,A3,WIFI,-86,0,6
"12.842471,80.154169",393329,A5,LORA,-118,-12.50,4938
"12.842471,80.154169",393456,A3,LORA,-89,12.25,4003
"12.842471,80.154169",393513,A4,BLE,-93,0,8224
"12.842471,80.154169",393829,A5,LORA,-116,-10.00,4939
"12.842471,80.154169",393958,A3,LORA,-106,0.25,4004
"12.842546,80.154151",404962,A3,LORA,-97,7.75,4026
"12.842546,80.154151",405335,A5,LORA,-109,-1.75,4962
"12.842546,80.154151",405462,A3,LORA,-103,5.50,4027
"12.842546,80.154151",405835,A5,LORA,-110,0.25,4963
"12.842546,80.154151",405964,A3,LORA,-100,7.50,4028
"12.842546,80.154151",406215,A5,WIFI,-91,0,6
"12.842546,80.154151",406337,A5,LORA,-110,-2.50,4964
"12.842546,80.154151",406411,A4,BLE,-85,0,8288
"12.842546,80.154151",406463,A3,LORA,-94,9.50,4029
"12.842546,80.154151",406836,A5,LORA,-113,-7.50,4965
"12.842546,80.154151",406963,A3,LORA,-90,11.00,4030
"12.842546,80.154151",407336,A5,LORA,-113,-7.50,4966
"12.842546,80.154151",407463,A3,LORA,-88,11.75,4031
"12.842546,80.154151",407836,A5,LORA,-117,-11.50,4967
"12.842546,80.154151",407843,A3,WIFI,-91,0,6
"12.842546,80.154151",407965,A3,LORA,-92,10.25,4032
"12.842546,80.154151",408093,A3,BLE,-91,0,10081
"12.842546,80.154151",408338,A5,LORA,-114,-8.25,4968
"12.842546,80.154151",408464,A3,LORA,-97,7.50,4033
"12.842546,80.154151",408964,A3,LORA,-91,10.25,4034
"12.842546,80.154151",409464,A3,LORA,-92,10.00,4035
"12.842546,80.154151",409470,A3,WIFI,-85,0,6
"12.842546,80.154151",409737,A3,BLE,-85,0,10089
"12.842546,80.154151",409837,A5,LORA,-118,-12.75,4971
"12.842546,80.154151",409966,A3,LORA,-95,8.50,4036
"12.842546,80.154151",410339,A5,LORA,-116,-10.50,4972
"12.842546,80.154151",410465,A3,LORA,-101,4.00,4037
"12.842546,80.154151",410838,A5,LORA,-109,-3.25,4973
"12.842546,80.154151",410965,A3,LORA,-107,-1.75,4038
"12.842546,80.154151",411338,A5,LORA,-108,-3.00,4974
"12.842546,80.154151",411465,A3,LORA,-98,6.75,4039
"12.842546,80.154151",411588,A3,BLE,-92,0,10098
"12.842546,80.154151",411764,A4,LORA,-116,-10.00,3326
"12.842546,80.154151",411838,A5,LORA,-117,-11.50,4975
"12.842546,80.154151",411967,A3,LORA,-95,9.00,4040
"12.842546,80.154151",412263,A4,LORA,-112,-6.00,3327
"12.842546,80.154151",412340,A5,LORA,-116,-10.50,4976
"12.842546,80.154151",412466,A3,LORA,-92,10.50,4041
"12.842546,80.154151",412546,A4,BLE,-83,0,8314
"12.842546,80.154151",412719,A4,WIFI,-86,0,6
"12.842546,80.154151",412754,A4,BLE,-84,0,8320
"12.842546,80.154151",412766,A4,LORA,-112,-7.75,3328
"12.842546,80.154151",412839,A5,LORA,-113,-7.50,4977
"12.842546,80.154151",412966,A3,LORA,-93,9.50,4042
"12.842546,80.154151",413226,A3,BLE,-92,0,10106
"12.842546,80.154151",413264,A4,LORA,-113,-8.00,3329
"12.842546,80.154151",413339,A5,LORA,-116,-10.75,4978
"12.842546,80.154151",413466,A3,LORA,-94,9.50,4043
"12.842546,80.154151",413764,A4,LORA,-114,-9.00,3330
"12.842546,80.154151",413839,A5,LORA,-114,-8.00,4979
"12.842546,80.154151",413968,A3,LORA,-95,9.25,4044
"12.842546,80.154151",414264,A4,LORA,-115,-10.00,3331
"12.842546,80.154151",414342,A5,WIFI,-88,0,6
"12.842546,80.154151",414385,A4,BLE,-83,0,8328
"12.842546,80.154151",414467,A3,LORA,-93,9.75,4045
"12.842546,80.154151",414592,A5,BLE,-90,0,12451
"12.842546,80.154151",414766,A4,LORA,-116,-11.00,3332
"12.842546,80.154151",414967,A3,LORA,-93,9.50,4046
"12.842546,80.154151",415073,A3,BLE,-90,0,10115
"12.842546,80.154151",415340,A5,LORA,-114,-8.75,4982
